Year;Tm;Player;Age;PER;TS%;TRB%;AST%;STL%
1978;NOJ;Truck Robinson;26;15.7;0.481;17;6.8;0.9
1978;BUF;Randy Smith;29;19.1;0.521;5;22.2;2.4
1978;WSB;Elvin Hayes;32;17.1;0.489;16.4;6.5;1.3
1978;BOS;Dave Cowens;29;18.6;0.533;17;15.7;1.4
1978;NYK;Bob McAdoo;26;22;0.567;16.4;13.4;1.4
1978;NJN;Bernard King;21;17.3;0.511;11.8;9.9;1.7
1978;CHI;Artis Gilmore;28;23.5;0.604;19;14;0.6
1978;DEN;David Thompson;23;23.2;0.578;6.6;19.3;1.3
1978;GSW;Rick Barry;33;20.9;0.509;7.5;22.6;2.4
1978;IND;Ricky Sobers;25;15.4;0.514;5.3;27.7;2.5
1978;KCK;Scott Wedman;25;15.9;0.55;8;9.7;1.5
1978;GSW;Phil Smith;25;16.5;0.522;5.2;19.6;1.7
1978;HOU;John Lucas;24;16.4;0.481;4.6;34.8;2.6
1978;SEA;Marvin Webster;25;17;0.543;18.1;9.6;0.8
1978;CLE;Jim Chones;28;14.9;0.503;14.7;6.5;0.8
1978;HOU;Calvin Murphy;29;19.5;0.525;3;14.9;1.8
1978;CHI;Wilbur Holland;26;14.1;0.483;5.6;16.8;2.7
1978;CHI;Mickey Johnson;25;17.4;0.526;14;14.4;1.5
1978;SAS;Larry Kenon;25;19;0.533;14.1;13.1;1.8
1978;SAS;George Gervin;25;24.7;0.594;7.7;16.1;2.1
1978;DEN;Dan Issel;29;21.5;0.571;14.9;16.1;1.6
1978;BOS;John Havlicek;37;14.3;0.495;6;17.1;1.5
1978;DEN;Bob Wilkerson;23;10;0.448;8.8;20.9;2
1978;LAL;Norm Nixon;22;14.1;0.518;4.4;26;2.2
1978;BUF;Swen Nater;28;16.9;0.543;19.9;11.4;0.7
1978;WSB;Bob Dandridge;30;16.1;0.528;7.9;14.7;1.6
1978;IND;Mike Bantom;26;14.8;0.525;10.7;12.2;1.6
1978;PHI;Doug Collins;26;16.9;0.568;4.2;16.9;2
1978;MIL;Marques Johnson;21;21.3;0.563;16.2;9.5;1.5
1978;MIL;Brian Winters;25;16.4;0.503;4.8;20.2;2
1978;POR;Lionel Hollins;24;14.3;0.482;5.3;19.6;2.6
1978;NJN;Kevin Porter;27;15.8;0.516;3.6;41.9;1.9
1978;KCK;Ron Boone;31;14;0.504;5.2;16.8;1.8
1978;WSB;Wes Unseld;31;14.4;0.535;17.9;15.3;1.6
1978;PHO;Walter Davis;23;22.1;0.577;9.6;16.5;1.9
1978;DET;Chris Ford;29;12.9;0.51;5.4;19.7;2.9
1978;SEA;Gus Williams;24;18.1;0.491;5.1;18;3.3
1978;DET;Eric Money;22;15.4;0.531;4.3;21.1;2.1
1978;DET;M.L. Carr;27;13.6;0.502;11.4;9.8;2.6
1978;NOJ;Gail Goodrich;34;16.2;0.545;3.3;21.8;1.4
1978;PHO;Don Buse;27;12.5;0.5;5;18.5;3.1
1978;PHI;George McGinnis;27;20.3;0.521;16.2;17;2.4
1978;ATL;Armond Hill;24;11;0.48;5;23.4;2.8
1978;CHI;Norm Van Lier;30;11.7;0.495;6.1;27.6;2.7
1978;CLE;Campy Russell;26;18.2;0.509;9.2;16.4;1.6
1978;PHI;Henry Bibby;28;11.7;0.492;5;23;1.6
1978;CLE;Foots Walker;26;14.2;0.496;6;23.7;3.3
1978;PHO;Paul Westphal;27;23.8;0.565;3.4;28.5;2.4
1978;SAS;Billy Paultz;29;19.8;0.568;14.3;11.5;0.7
1978;HOU;Dwight Jones;25;12.5;0.496;13.7;5.8;1.5
1978;DEN;Bobby Jones;26;19.8;0.616;13.4;14.5;2.5
1978;PHI;Julius Erving;27;21.7;0.555;10;17.3;2.5
1978;IND;Dan Roundfield;24;18;0.534;16.1;11.4;1.5
1978;MIL;Dave Meyers;24;15.4;0.522;11.7;12.9;1.6
1978;BOS;Sidney Wicks;28;13.9;0.505;14.2;10.1;1.3
1978;NJN;George Johnson;29;11.6;0.438;15.7;6;1.4
1978;NYK;Earl Monroe;33;16.9;0.541;4;21.2;1.1
1978;MIL;John Gianelli;27;11.7;0.507;11.5;10.1;1
1978;ATL;Steve Hawes;27;16.1;0.5;16.2;12.1;1.6
1978;NYK;Lonnie Shelton;22;17.4;0.549;12.9;11.4;2.1
1978;WSB;Tom Henderson;26;12.6;0.482;4.1;23.2;1.8
1978;DET;Bob Lanier;29;24.8;0.58;16.2;14.9;1.6
1978;LAL;Lou Hudson;33;14.2;0.525;4.2;11.6;1.9
1978;GSW;Clifford Ray;29;14.9;0.594;17;8.3;1.5
1978;LAL;Kareem Abdul-Jabbar;30;29.2;0.589;18.1;18.3;2.1
1978;BOS;Dave Bing;34;13.4;0.508;4.8;19.2;1.6
1978;SEA;Jack Sikma;22;13.5;0.509;15.4;8.3;1.4
1978;KCK;Richard Washington;22;14.2;0.511;15;7.4;1.5
1978;SEA;Dennis Johnson;23;15.6;0.486;6.8;14.8;2.4
1978;ATL;John Drew;23;23.7;0.545;12.6;11.2;2.5
1978;POR;Johnny Davis;22;12.1;0.511;4.1;13.3;1.7
1978;CLE;Austin Carr;29;13.6;0.484;4.3;14.9;1.4
1978;SEA;Paul Silas;34;10.2;0.437;15.6;8.5;1.4
1978;DET;John Shumate;25;16.5;0.597;13.4;7.5;1.6
1978;POR;Bob Gross;24;16.9;0.569;9.6;16.2;2.1
1978;BUF;Billy Knight;25;18.7;0.558;9.5;11.5;1.8
1978;HOU;Kevin Kunnert;26;13.6;0.46;17.1;6.2;1
1978;KCK;Lucius Allen;30;13.3;0.488;5.5;22.8;1.9
1978;KCK;Sam Lacey;29;15.2;0.494;15.4;18;2.5
1978;WSB;Kevin Grevey;24;15.5;0.496;6.8;11;1.3
1978;NOJ;Rich Kelley;24;17.8;0.571;17.2;14.5;1.9
1978;POR;Maurice Lucas;25;17.3;0.502;15.3;11.9;1.3
1978;NOJ;Aaron James;25;13.3;0.523;9.5;7.6;0.8
1978;HOU;Moses Malone;22;21.2;0.559;22.3;2.1;1.1
1978;PHO;Gar Heard;29;12.9;0.449;16;7.7;2.6
1978;SAS;Mike Gale;27;13.3;0.51;5.6;21.7;3.3
1978;MIL;Quinn Buckner;23;14.4;0.499;6.3;27.5;4
1978;GSW;Sonny Parker;22;17.4;0.544;9.5;10.6;3
1978;PHI;World B. Free;24;17.4;0.539;5.2;20.6;1.5
1978;NOJ;Pete Maravich;30;17.6;0.492;4.2;26.1;2.2
1978;SAS;Louie Dampier;33;13.7;0.531;3.1;17.6;1.9
1978;NYK;Jim Cleamons;28;10.4;0.518;5.5;16.6;1.5
1978;BUF;Chuck Williams;31;9.5;0.533;3.7;20.9;1.1
1978;CLE;Elmore Smith;28;19.9;0.534;17.2;4.2;1.2
1978;DET;Leon Douglas;23;13.6;0.527;15.3;7.7;1.3
1978;LAL;Adrian Dantley;21;19.8;0.599;10.4;12.6;1.6
1978;NYK;Butch Beard;30;14.6;0.544;6.9;21.5;2.6
1978;NYK;Jim McMillian;29;12.5;0.507;7.6;12.8;1.7
1978;GSW;Robert Parish;24;17.2;0.499;17.5;7;1.8
1978;SEA;Fred Brown;29;19.6;0.528;4.9;19.9;2.6
1978;LAL;Don Ford;25;11.6;0.497;9.3;9.1;1.6
1978;ATL;Charlie Criss;29;14.8;0.496;3.4;22.5;2.6
1978;POR;Bill Walton;25;24.8;0.554;20.7;22.8;1.4
1978;PHO;Ron Lee;25;16.2;0.478;6.8;21.8;5
1978;PHO;Alvan Adams;23;17.7;0.528;15.2;16.4;1.9
1978;KCK;Otis Birdsong;22;17.1;0.53;4.8;14.1;1.7
1978;MIL;Junior Bridgeman;24;17;0.539;8.2;13.4;1.7
1978;SAS;Coby Dietrick;29;11.3;0.496;10;14;1.9
1978;ATL;Eddie Johnson;22;13.6;0.535;4.4;18.9;2.5
1978;IND;Earl Tatum;24;14.2;0.493;5.4;17.6;2.5
1978;NOJ;Paul Griffin;24;10.9;0.506;13.2;11.4;2.1
1978;HOU;Robert Reid;22;11.3;0.475;10.3;8.7;1.7
1978;POR;Dave Twardzik;27;14.3;0.651;3.8;17.5;2.7
1978;PHI;Steve Mix;30;14.8;0.576;8.3;12.7;2.1
1978;SEA;John Johnson;30;11.9;0.453;8.6;17;1.1
1978;CHI;Scott May;23;12.7;0.516;10;9.2;1.3
1978;GSW;E.C. Coleman;27;9.1;0.493;10.6;7.1;1.7
1978;CLE;Jim Brewer;26;10.5;0.456;13.9;7;1.5
1978;ATL;Tree Rollins;22;15.6;0.521;16.7;6.3;1.5
1978;SAS;Mark Olberding;21;12.1;0.557;11;8.9;1.1
1978;CHI;John Mengelt;28;14.5;0.535;4;19.9;1.4
1978;NYK;Spencer Haywood;28;15.7;0.505;12.9;9.9;0.9
1978;NOJ;Jim McElroy;24;13.6;0.512;4;22.5;1.5
1978;WSB;Mitch Kupchak;23;17.7;0.564;12.9;5.9;0.7
1978;KCK;Bill Robinzine;25;13.6;0.512;15.8;5.6;1.9
1978;PHI;Darryl Dawkins;21;18;0.608;16.3;6.8;0.9
1978;POR;Tom Owens;28;17.4;0.546;16.4;13;0.9
1978;BUF;Wil Jones;30;9.4;0.473;10.5;9.3;1.9
1978;ATL;Ollie Johnson;28;13.9;0.514;8.3;10.5;2.2
1978;ATL;Tom McMillen;25;13.3;0.535;13.5;7.4;0.9
1978;IND;James Edwards;22;14.8;0.492;12.6;4.9;1
1978;CLE;Walt Frazier;32;17.5;0.52;6.4;18.5;2.1
1978;GSW;Charles Dudley;27;13.4;0.585;8.8;29.8;1.9
1978;BOS;Jo Jo White;31;11.9;0.458;5.6;18.1;1.4
1978;PHI;Caldwell Jones;27;11.3;0.509;17.6;6.9;0.7
1978;PHO;Dennis Awtrey;29;6.1;0.47;9.6;11.5;0.5
1978;DEN;Anthony Roberts;22;12.2;0.467;11.3;9.4;1.1
1978;ATL;John Brown;26;11.4;0.557;10.3;9.1;1.6
1978;CLE;Bingo Smith;31;14.3;0.47;6.6;8.9;1.1
1978;MIL;Alex English;24;17.4;0.568;13.4;11.4;1.2
1978;NYK;Ray Williams;23;14.5;0.485;7;30.9;3
1978;PHO;Alvin Scott;22;12.3;0.543;11.9;6.9;1.5
1978;KCK;Tom Burleson;25;16.5;0.515;16.2;11.3;1.8
1978;LAL;Jamaal Wilkes;24;16.1;0.475;13;16.1;2.3
1978;SAS;Allan Bristow;26;14.6;0.529;9.1;16.7;2.1
1978;NJN;Tim Bassett;26;8.6;0.408;13.3;5.4;1.8
1978;WSB;Larry Wright;23;13.7;0.52;3.4;25;2.1
1978;IND;John Williamson;26;12;0.464;4;14;1.4
1978;NJN;Jan Van Breda Kolff;26;7.5;0.435;8.3;9.1;1.6
1978;LAL;Charlie Scott;29;12.3;0.49;5.4;21.6;1.9
1978;BUF;Marvin Barnes;25;14.1;0.464;13.6;12.2;1.9
1978;POR;Corky Calhoun;27;10.8;0.522;8.2;8.2;1.4
1978;IND;Len Elmore;25;12.5;0.419;15.4;7.8;2.5
1978;SEA;Bruce Seals;24;10.3;0.455;8.7;8.8;1.4
1978;LAL;Tom Abernethy;23;15.6;0.544;10.3;9.7;1.9
1978;MIL;Kent Benson;23;13.2;0.497;12.1;9.8;2.4
1978;NJN;John Williamson;26;18.5;0.509;4;10.9;1.6
